threshold,accuracy,balanced_accuracy,precision,recall,f1_score,true_positive,true_negative,false_positive,false_negative,predicted_positive_rate,model
0.35000000000000003,0.7210592686002522,0.792051640548676,0.3395987328405491,0.8938299055030573,0.4921946740128558,1608,6969,3127,191,0.3980664144598571,random_forest_light
0.4,0.748213535098781,0.8014242537895239,0.36265502985760223,0.877709838799333,0.5132455712660491,1579,7321,2775,220,0.36603614964270703,random_forest_light
0.45,0.7725935266918873,0.8039091811439529,0.3856060606060606,0.848804891606448,0.5303003993748915,1527,7663,2433,272,0.3329129886506936,random_forest_light
0.5,0.7938629676334594,0.8043332920032171,0.40933074146070536,0.8193440800444691,0.5459259259259259,1474,7969,2127,325,0.30273224043715846,random_forest_light
0.55,0.8144598570828079,0.8023055377657424,0.4368811881188119,0.7848804891606448,0.5613198171337707,1412,8276,1820,387,0.27171080285834387,random_forest_light
0.6000000000000001,0.8314417822614544,0.7974630044072732,0.46448275862068966,0.7487493051695386,0.5733134709512663,1347,8543,1553,452,0.24379991593106348,random_forest_light
0.65,0.848255569567045,0.7781317418375591,0.498772504091653,0.6775986659255142,0.5745934480320528,1219,8871,1225,580,0.20546448087431693,random_forest_light
0.7000000000000001,0.8622950819672132,0.7571661686497781,0.5398317664522514,0.6064480266814897,0.5712041884816754,1091,9166,930,708,0.16990332072299286,random_forest_light
0.75,0.8728036990332072,0.7334353409051868,0.587515299877601,0.5336297943301834,0.5592775997669677,960,9422,674,839,0.13736864228667509,random_forest_light
0.8,0.8770071458596049,0.6925141212453828,0.6395348837209303,0.4280155642023346,0.5128205128205128,770,9662,434,1029,0.10121899957965531,random_forest_light
0.8500000000000001,0.8720470786044556,0.6212982934699591,0.7082706766917293,0.26181211784324626,0.3823051948051948,471,9902,194,1328,0.05590584279108869,random_forest_light
0.9,0.8546448087431694,0.5249370358070031,0.7966101694915254,0.05225125069483046,0.0980699008868023,94,10072,24,1705,0.009920134510298445,random_forest_light
0.9500000000000001,0.8487599831862127,0.5,0.0,0.0,0.0,0,10096,0,1799,0.0,random_forest_light
0.05,0.17604035308953342,0.5146097464342314,0.15508620689655173,1.0,0.26852750205239195,1799,295,9801,0,0.9751996637242539,gradient_boosting_light
0.1,0.3345102984447247,0.6052226584764031,0.1843978949540811,0.9933296275708727,0.31105308964316797,1787,2192,7904,12,0.8147120638923918,gradient_boosting_light
0.15000000000000002,0.4712904581757041,0.6782616729315194,0.21930482620655165,0.9749861033907726,0.3580687965703787,1754,3852,6244,45,0.6723833543505675,gradient_boosting_light
0.2,0.5894073139974779,0.7348244512491091,0.26192313628646396,0.943301834352418,0.41000241604252236,1697,5314,4782,102,0.544682639764607,gradient_boosting_light
0.25,0.6755779739386297,0.7737099332786572,0.3074766355140187,0.914396887159533,0.46020422436704433,1645,6391,3705,154,0.44976881042454814,gradient_boosting_light
0.30000000000000004,0.7079445145018916,0.7852394390174503,0.32904674423351704,0.896053362979433,0.48133771275007464,1612,6809,3287,187,0.41185372005044135,gradient_boosting_light
0.35000000000000003,0.72484237074401,0.793138207835133,0.3425213675213675,0.8910505836575876,0.4948294489890415,1603,7019,3077,196,0.39344262295081966,gradient_boosting_light
